# NeArKrXe lines (in air) from spec2d_lamp_NIST.dat, all with GOOD
# I have no idea what the second column refers to.
3.428727100000000064e+03 1.200000000000000000e+02
3.568537699999999859e+03 2.500000000000000000e+02
3.600206200000000081e+03 1.200000000000000000e+03
3.653964199999999892e+03 2.500000000000000000e+02
3.701260499999999865e+03 1.100000000000000000e+03
3.829784799999999905e+03 1.200000000000000000e+02
4.088366700000000037e+03 5.000000000000000000e+02
4.103941399999999703e+03 1.500000000000000000e+02
4.259389699999999721e+03 2.000000000000000000e+02
4.837333800000000338e+03 5.000000000000000000e+02
4.916528000000000247e+03 5.000000000000000000e+02
4.965099599999999555e+03 2.000000000000000000e+02
5.203913599999999860e+03 1.500000000000000000e+02
5.292234599999999773e+03 2.000000000000000000e+03
5.298206600000000435e+03 1.500000000000000000e+02
5.349219199999999546e+03 1.500000000000000000e+02
5.433666900000000169e+03 2.500000000000000000e+02
5.438974299999999857e+03 8.000000000000000000e+02
5.460408400000000256e+03 4.000000000000000000e+02
5.468186200000000099e+03 2.000000000000000000e+02
5.472625000000000000e+03 1.000000000000000000e+03
5.616685400000000300e+03 3.000000000000000000e+02
5.726925100000000384e+03 5.000000000000000000e+02
5.776401499999999942e+03 3.000000000000000000e+02
5.811420399999999972e+03 3.000000000000000000e+02
5.852500699999999597e+03 2.000000000000000000e+03
6.074349000000000160e+03 1.000000000000000000e+03
6.128460900000000038e+03 1.000000000000000000e+02
6.163604599999999664e+03 1.000000000000000000e+03
6.266505000000000109e+03 1.000000000000000000e+03
6.456296500000000378e+03 2.000000000000000000e+02
6.506536600000000362e+03 1.000000000000000000e+02
6.532890500000000429e+03 1.000000000000000000e+02
6.598960799999999836e+03 1.000000000000000000e+03
6.717050199999999677e+03 7.000000000000000000e+01
6.728019800000000032e+03 2.000000000000000000e+02
6.805748400000000402e+03 1.000000000000000000e+03
6.965442000000000007e+03 1.000000000000000000e+04
7.024055800000000090e+03 5.000000000000000000e+02
7.173942699999999604e+03 1.000000000000000000e+03
7.245170699999999670e+03 1.000000000000000000e+03
7.383988000000000284e+03 1.000000000000000000e+04
7.503869399999999587e+03 2.000000000000000000e+04
7.514654499999999643e+03 1.500000000000000000e+04
7.535772700000000441e+03 3.000000000000000000e+02
7.635107299999999668e+03 2.500000000000000000e+04
7.685239999999999782e+03 1.000000000000000000e+03
7.694539999999999964e+03 1.200000000000000000e+03
7.854821899999999914e+03 8.000000000000000000e+02
7.948176300000000083e+03 2.000000000000000000e+04
8.006156299999999646e+03 2.000000000000000000e+04
8.014785899999999856e+03 2.500000000000000000e+04
8.190053700000000390e+03 3.000000000000000000e+03
8.231634299999999712e+03 1.000000000000000000e+04
8.365746999999999389e+03 1.500000000000000000e+02
8.424645200000000841e+03 2.000000000000000000e+04
8.495357799999999770e+03 5.000000000000000000e+02
8.508868099999999686e+03 3.000000000000000000e+03
8.521438599999999497e+03 1.500000000000000000e+04
8.591256199999999808e+03 4.000000000000000000e+02
8.704108599999999569e+03 2.000000000000000000e+02
8.739375000000000000e+03 3.000000000000000000e+02
8.819404699999999139e+03 5.000000000000000000e+03
8.952248100000000704e+03 1.000000000000000000e+03
9.045442499999999200e+03 4.000000000000000000e+02
9.122962199999999939e+03 3.500000000000000000e+04
9.162640299999999115e+03 5.000000000000000000e+02
9.354212600000000748e+03 1.600000000000000000e+03
9.425372699999999895e+03 5.000000000000000000e+02
9.459203199999999924e+03 3.000000000000000000e+02
9.486675499999999374e+03 5.000000000000000000e+02
9.513373799999999392e+03 2.000000000000000000e+02
9.534156300000000556e+03 5.000000000000000000e+02
9.547398300000000745e+03 3.000000000000000000e+02
9.657779099999999744e+03 2.500000000000000000e+04
9.685316500000000815e+03 1.500000000000000000e+02
9.751750299999999697e+03 2.000000000000000000e+03
9.784494300000000294e+03 4.500000000000000000e+03
9.856306500000000597e+03 5.000000000000000000e+02
9.923181099999999788e+03 3.000000000000000000e+03
1.005205570000000080e+04 1.800000000000000000e+02
1.022144909999999982e+04 1.000000000000000000e+03
1.050648970000000008e+04 1.800000000000000000e+02
1.056239680000000044e+04 2.000000000000000000e+02
1.067355479999999989e+04 2.000000000000000000e+02
1.079803130000000056e+04 1.500000000000000000e+02
1.084446550000000025e+04 2.000000000000000000e+02
